"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
589	472	72	2.71271804791953	2.95265179181412	0	0	0	1
470	429	222	0.950417971149439	1.19035171504403	0	0	0	1
26	26	213	-3.03426990208475	-2.79433615819015	0	0	0	1
279	313	850	-1.44130018409245	-1.20136644019785	0	0	0	1
136	431	191	1.17411523105335	1.41404897494794	0	0	0	1
4494	4023	14694	-1.8688835366595	-1.62894979276491	0	0	0	1
378	451	1529	-1.76138906810542	-1.52145532421083	0	0	0	1
53	98	327	-1.73843698138287	-1.49850323748828	0	0	0	1
264	414	211	0.972387768792141	1.21232151268673	0	0	0	1
129	53	1362	-4.68359053344887	-4.44365678955428	0	0	0	1
183	196	76	1.36678233067162	1.60671607456622	0	0	0	1
521	1026	479	1.09893316987087	1.33886691376547	0	0	0	1
70	50	1227	-4.61706334388818	-4.37712959999359	0	0	0	1
47	121	26	2.2184235191335	2.4583572630281	0	0	0	1
570	702	234	1.58496250072116	1.82489624461575	0	0	0	1
146	127	399	-1.65156024945018	-1.41162650555559	0	0	0	1
9	4	118	-4.88264304936184	-4.64270930546725	0	0	0	1
25	40	377	-3.2364926183813	-2.99655887448671	0	0	0	1
6	3	85	-4.82442843541655	-4.58449469152195	0	0	0	1
115	167	817	-2.29048797567163	-2.05055423177704	0	0	0	1
464	815	384	1.08569374839728	1.32562749229188	0	0	0	1
199	185	621	-1.74706799770417	-1.50713425380958	0	0	0	1
14	78	3	4.70043971814109	4.94037346203569	0	0	0	1
228	279	135	1.04730571477836	1.28723945867295	0	0	0	1
27	19	769	-5.33891227451824	-5.09897853062365	0	0	0	1
49	38	233	-2.6162586312107	-2.3763248873161	0	0	0	1
173	414	168	1.30116953472057	1.54110327861516	0	0	0	1
668	523	303	0.78749315277399	1.02742689666858	0	0	0	1
216	335	160	1.06608919045777	1.30602293435237	0	0	0	1
166	228	100	1.18903382439002	1.42896756828461	0	0	0	1
386	603	358	0.752198414635828	0.99213215853042	0	0	0	1
1978	2735	1560	0.809994803930309	1.0499285478249	0	0	0	1
668	1004	485	1.04970261687628	1.28963636077087	0	0	0	1
731	673	149	2.17529417414816	2.41522791804275	0	0	0	1
15	88	15	2.55254102302878	2.79247476692337	0	0	0	1
37	96	10	3.26303440583379	3.50296814972839	0	0	0	1
35	45	375	-3.05889368905357	-2.81895994515898	0	0	0	1
26	24	181	-2.91488338636205	-2.67494964246746	0	0	0	1
108	93	469	-2.33428530140734	-2.09435155751275	0	0	0	1
151	247	686	-1.47369753458814	-1.23376379069354	0	0	0	1
173	184	1679	-3.18982455888002	-2.94989081498542	0	0	0	1
157	213	2183	-3.35738679476495	-3.11745305087036	0	0	0	1
33	21	221	-3.39558513661267	-3.15565139271808	0	0	0	1
294	264	2469	-3.22531700178433	-2.98538325788974	0	0	0	1
488	564	374	0.592656892511156	0.832590636405749	0	0	0	1
44	48	822	-4.09803208296053	-3.85809833906593	0	0	0	1
456	665	217	1.61565929794407	1.85559304183867	0	0	0	1
75	135	500	-1.88896868761126	-1.64903494371666	0	0	0	1
140	167	38	2.13577677903047	2.37571052292506	0	0	0	1
278	521	322	0.69422268416389	0.934156428058482	0	0	0	1
313	246	82	1.58496250072116	1.82489624461575	0	0	0	1
75	133	454	-1.77126605178972	-1.53133230789513	0	0	0	1
41	47	271	-2.52756018967623	-2.28762644578164	0	0	0	1
154	156	39	2	2.23993374389459	0	0	0	1
589	729	402	0.858723313148008	1.0986570570426	0	0	0	1
969	1246	3260	-1.38756789609444	-1.14763415219985	0	0	0	1
151	139	365	-1.39281158104387	-1.15287783714928	0	0	0	1
23	16	342	-4.4178525148859	-4.1779187709913	0	0	0	1
16	25	169	-2.75702324650746	-2.51708950261287	0	0	0	1
