Control_1	Control_2	Control_3	Patient_1	Patient_2	Patient_3
AC010127.3	2	1	0	0	0	0
AC010226.4	6	3	0	5	7	0
AC010524.2	0	1	0	0	0	0
AC010731.4	0	0	0	0	0	0
AC010890.1	0	0	0	0	0	0
AC011298.2	0	0	0	0	0	0
AC011343.1	0	0	0	0	0	0
AC011609.3	2	0	0	0	0	0
AC011738.4	0	0	0	0	0	0
AC011747.4	5	15	3	1	4	0
AC011747.7	4	3	2	1	0	0
AC011899.9	2	11	9	8	0	2
AC012309.5	6	0	1	5	15	2
AC012314.8	27	19	35	49	30	44
AC012507.3	0	0	0	0	0	0
AC015922.6	0	0	0	0	0	0
AC016582.2	0	0	0	0	3	3
AC016629.8	5	8	15	11	3	6
AC016738.3	0	0	0	0	0	0
AC016910.1	0	1	0	0	0	0
AC016995.3	0	0	0	0	0	0
AC017060.1	0	0	0	0	0	0
AC018470.4	0	0	0	0	0	0
AC018647.3	0	0	0	0	0	0
AC018705.5	0	0	1	0	0	0
AC018742.1	1	0	0	0	0	0
AC018799.1	0	0	0	0	0	0
AC019048.1	0	0	4	0	0	0
AC019118.2	4	0	0	0	0	1
AC020571.3	2	18	73	2	0	3
AC022007.5	4	2	10	3	5	4
AC022173.2	0	0	0	0	0	0
AC022311.1	0	0	0	0	0	0
AC024592.9	0	1	0	0	1	0
AC037193.1	0	0	3	0	0	0
AC058791.1	1658	994	473	308	392	231
AC068831.10	0	0	0	0	0	0
AC068858.1	0	0	0	0	0	0
AC072062.1	2	1	4	0	0	1
AC073128.10	11	6	4	12	26	9
AC073133.1	0	0	0	0	3	0
AC073283.4	0	0	0	0	0	0
AC074138.3	2	2	0	2	3	4
AC074286.1	5	9	11	9	3	2
AC074289.1	65	48	38	110	49	63
AC078941.1	0	0	0	0	0	0
AC079145.4	0	0	0	0	0	0
AC079610.2	0	0	0	0	0	0
AC090044.1	0	0	0	0	0	0
AC090505.6	0	0	0	0	1	0
AC091729.9	2	3	5	1	10	7
AC091878.1	4	0	0	1	3	2
AC092295.7	2	0	1	3	0	1
AC093375.1	0	0	0	0	0	0
AC093391.2	3	4	12	4	3	5
AC093590.1	0	0	0	0	0	0
AC093690.1	55	39	44	17	18	23
AC095067.1	0	0	0	0	0	1
AC096559.1	0	0	1	1	0	0
AC097500.2	0	2	4	1	3	2
AC097662.2	0	0	5	0	1	0
AC098823.3	0	1	1	0	0	0
AC099342.1	0	2	0	0	0	0
AC104024.1	72	27	44	31	124	60
AC104134.2	516	154	140	270	157	300
AC104653.1	8	3	0	1	2	5
AC104654.2	0	0	0	0	0	0
AC104655.2	10	2	0	2	6	2
AC104820.2	1	2	4	1	0	1
AC105053.3	0	0	0	1	0	0
AC105253.1	0	0	0	0	0	0
AC105339.1	0	0	0	0	0	0
AC105760.3	0	0	1	0	0	0
AC107622.1	0	0	0	0	3	2
AC109828.1	8	8	12	6	15	16
AC113607.2	0	0	0	0	0	0
AC125421.1	0	0	0	0	0	0
AC131097.3	1	1	1	0	4	4
AC137932.6	24	16	17	1	28	4
AC144449.1	7	4	1	5	2	1
AC145110.1	1	2	6	3	1	0
AC147651.4	5	29	4	9	8	5
AC159540.1	62	25	50	36	33	32
AC159540.1-2	173	56	141	56	99	89
AC226118.1	1	0	0	4	1	1
ACAA1	150	185	93	43	52	44
ACAA2	227	271	177	83	98	92
ACACA	164	125	203	190	216	150
ACACB	63	80	122	27	50	33
ACAD10	21	12	27	10	29	4
ACAD11	5	0	2	6	4	5
ACAD8	52	46	39	36	56	34
ACAD9	34	23	20	39	53	38
ACADL	0	0	0	0	0	0
ACADM	172	158	162	61	78	50
ACADS	3	2	0	2	1	1
ACADSB	150	112	110	77	93	73
ACADVL	375	354	294	125	137	187
ACAN	1	0	2	2	3	4
ACAP1	127	80	172	37	54	40
ACAP2	915	902	699	325	430	241
ACAP3	23	9	22	6	12	6
ACAT1	65	60	43	32	68	39
ACAT2	249	214	174	98	80	82
ACBD3	340	243	236	272	292	229
ACBD4	3	2	2	4	4	2
ACBD5	219	340	376	197	178	188
ACBD6	44	45	89	48	80	42
ACBD7	13	6	24	2	1	3
ACCS	7	39	51	8	11	18
ACCSL	0	0	0	1	0	0
ACD	29	17	123	24	32	15
ACE	1	2	1	0	0	0
ACE2	0	1	3	0	1	0
ACER1	0	0	3	0	0	0
ACER2	33	18	17	13	30	9
ACER3	126	198	80	39	62	31
ACHE	2	4	1	1	3	1
ACIN1	738	604	637	497	688	491
ACKR2	0	3	1	1	3	2
ACKR3	8	5	5	3	11	6
ACKR4	0	3	4	11	29	11
ACLY	249	259	327	94	140	128
ACMSD	0	0	1	1	0	1
ACN9	14	14	19	5	13	6
ACO1	68	60	66	25	39	21
ACO2	134	115	91	90	130	98
ACOT1	1	2	1	4	1	1
ACOT11	2	1	0	1	0	0
ACOT12	1	0	0	2	0	0
ACOT13	177	200	360	78	142	77
ACOT2	4	2	2	7	7	5
ACOT4	0	0	0	0	0	0
ACOT6	0	0	1	0	0	0
ACOT7	22	31	11	5	3	2
ACOT8	3	5	14	12	7	7
ACOT9	326	171	48	176	195	167
ACOX1	200	257	562	71	115	56
ACOX2	1	2	0	0	1	0
ACOX3	25	21	45	11	22	8
ACOXL	1	1	0	0	0	3
ACP1	155	157	172	246	263	257
ACP2	10	13	9	8	9	7
ACP5	17	8	23	29	38	23
ACP6	6	6	5	1	2	3
ACPL2	12	20	18	7	5	3
ACPP	98	145	47	13	7	4
ACPT	0	0	0	0	1	0
ACR	0	1	1	0	0	0
ACRBP	16	11	10	8	18	14
ACRC	61	73	83	41	34	31
ACRV1	1	3	1	0	1	0
ACSBG1	3	0	3	0	5	2
ACSBG2	0	0	0	0	1	0
ACSF2	18	22	34	6	5	3
ACSF3	53	29	45	31	68	38
ACSL1	4126	2129	660	1056	1104	1346
ACSL3	438	327	235	376	312	276
ACSL4	339	339	211	119	146	101
ACSL5	503	516	190	153	174	140
ACSL6	2	14	29	1	3	1
ACSM1	6	5	9	9	20	7
ACSM2A	0	0	0	0	0	0
ACSM2B	0	0	0	0	0	0
ACSM3	6	9	6	27	22	14
ACSM4	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0
ACSS1	110	79	79	66	132	106
ACSS2	29	53	29	5	9	5
ACSS3	0	0	1	0	0	0
